,Image,average_rmse,singan_rmse,telea30_rmse,scratch_rmse
0,1.0,614.075728229019,576.7104992975245,581.2185475361226,673.0698329296894
1,2.0,693.778783186687,678.3649460283159,669.9932835484249,724.7199459101425
2,3.0,692.588622488126,710.3435788405495,700.6946553242717,692.8585714270987
3,4.0,642.44455013643,664.8887124925494,701.4513525541169,700.7774254354945
4,5.0,658.6311562627446,613.5527687167584,601.6510616628213,707.0615249043042
5,7.0,695.5314514815271,626.5181561614954,698.5384742446188,653.326105402195
