"Timestamp","Total score","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?)","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?) [Score]","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?) [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]"
"2021/01/17 7:58:20 pm CET","0.00 / 0","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:00:04 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:03:17 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:03:17 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:08:11 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0",""
"2021/01/17 8:11:34 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:14:04 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:25:03 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0",""
"2021/01/17 8:27:27 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0",""
"2021/01/17 8:35:02 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 8:41:49 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 9:10:04 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 11:38:09 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 9:17:29 am CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 9:20:32 am CET","0.00 / 0","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 9:23:28 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 9:29:04 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 10:21:03 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 10:43:11 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/18 5:22:06 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/19 7:01:19 am CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/19 7:13:11 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/19 7:32:57 am CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/19 8:07:59 am CET","0.00 / 0","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/19 10:32:25 am CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
