,SIFID
0,5.976403e-06
1,7.8914e-06
2,1.6922672e-06
3,8.8356563e-07
4,1.9081672e-05
5,4.156272e-06
6,2.5601232e-06
7,2.855224e-06
8,5.8576466e-06
9,1.799112e-07
10,1.132552e-06
11,4.6958947e-05
12,4.841148e-05
13,2.152932e-06
14,8.30205e-07
15,1.9041603e-05
