,Image,average_rmse,singan_rmse,navier_stokes_rmse,scratch_rmse
0,1.0,637.9294631853901,576.7104992975245,595.0142855427927,673.0698329296894
1,2.0,700.151412195962,678.3649460283159,680.6291207405102,724.7199459101425
2,3.0,703.826683211144,710.3435788405495,691.2843119874774,692.8585714270987
3,4.0,676.4355105994954,664.8887124925494,640.6106461806578,700.7774254354945
4,5.0,658.6311562627446,613.5527687167584,602.4167992345499,707.0615249043042
