name, score,
image_2.png, 0.9819997453704313,
wall.png, 0.8383786416048538,
hike.png, 0.9656417044756718,
image_7.png, 0.9640777049816458,
road.png, 0.8553447929375273,
image_4.png, 0.9817649172697858,
image_5.png, 0.9889141582350678,
image_3.png, 0.9729379869650303,
stairway.png, 0.9100546129510231,
village.png, 0.9810925036491084,
image_8.png, 0.9773320927946116,
127h.png, 0.8580140100936777,
mountain.png, 0.9639417024593662,
image_6.png, 0.9930360761961537,
tree.png, 0.9693794499244982,
image_1.png, 0.97474780678282,
