name, score,
image_2.png, 0.9814484067418529,
wall.png, 0.8436815741490213,
hike.png, 0.9530654553484955,
image_7.png, 0.9795775280894459,
road.png, 0.8623165315272985,
image_4.png, 0.985568400280346,
image_5.png, 0.9887467474621361,
image_3.png, 0.9732482550999121,
stairway.png, 0.905498507100754,
village.png, 0.9603280103454219,
image_8.png, 0.9821675233884544,
127h.png, 0.8532628718093491,
mountain.png,  0.9633532069571453,
image_6.png, 0.9925261639902017,
tree.png, 0.963521248467538,
image_1.png, 0.976221847387201,
