name, score,
image_2.png, 0.9884731029794563,
wall.png, 0.855627967291767,
hike.png, 0.9697466247656209,
image_7.png, 0.9875443322373131,
road.png, 0.8715161425394631,
image_4.png, 0.9866168513846643,
image_5.png, 0.9935785187213101,
image_3.png, 0.9858748900500156,
stairway.png, 0.9252800386544702,
village.png, 0.9880279189317515,
image_8.png, 0.9874602369583204,
127h.png, 0.8647968103228572,
mountain.png, 0.9515169552150347,
image_6.png, 0.9927441908580904,
tree.png, 0.9738254095809975,
image_1.png ,0.9825317797281943,
