,SIFID
0,11.475522
1,8.169427
2,2.258897
3,1.711101
4,14.920336
5,0.042891182
6,11.309554
7,5.3990827
8,3.2142358
9,2.0103016
10,0.0001246563
11,0.00017106545
12,1.7964383
