,SIFID
0,0.018381925
1,16.266504
2,1.9276719
3,0.401813
4,3.4075223e-05
5,7.2970676
6,9.803468e-05
7,4.4398236
8,1.7564548
9,3.5574365
10,11.338701
11,3.1709843
12,3.9635808
