,SIFID
0,1.1271682
1,1.4143058
2,10.980277
3,2.8057444
4,5.099072
5,16.503807
6,9.8143464e-05
7,2.2424157
8,3.4959579
9,5.524111
10,9.00452
11,1.7161617e-06
12,0.9077841
